Gouvernorat,Délégation,Localité,Prix,Taille,Proximité,Infrastructure,Type_Agriculture,Additional_Features,Taille_m2,Prix_m2
Zaghouan,Zaghouan,Delaiel El Arouss,4909561,50447 m²,,eau,,,50447.61,97.32
Zaghouan,El Fahs,Hammam Zriba,11528852,17317 m²,,,,titre foncier,17317.61,665.73
Zaghouan,Zaghouan,Sidi Naji,27720654,48776 m²,,eau,,,48776.49,568.32
Zaghouan,El Fahs,Bir Mcherga,24343443,42839 m²,,,vigne,,42839.32,568.25
Zaghouan,El Fahs,Sidi Naji,12238224,42610 m²,,eau,,,42610.72,287.21
Zaghouan,Bir Mcherga,El Fahs,16070437,45296 m²,,électricité,vigne,,45296.91,354.78
Zaghouan,Bir Mcherga,Bou Achir,26804267,43747 m²,,,vigne,titre foncier,43747.07,612.71
Sfax,Sfax Sud,Sakiet Ezzit,16578117,47056 m²,,aucune,olivier,titre foncier,47056.82,352.3
Sfax,Agareb,Sakiet Ezzit,16756689,33862 m²,,électricité,agrumes,,33862.16,494.85
Sfax,Agareb,Essaltania,2714011,47656 m²,,eau,vigne,,47656.04,56.95
Sfax,Sfax Sud,Sakiet Ezzit,27276,1340 m²,,électricité,agrumes,titre foncier,1340.38,20.35
Sfax,Agareb,Agareb,33520495,46050 m²,,électricité,agrumes,titre foncier,46050.33,727.91
Sfax,Sfax Sud,Sakiet Ezzit,17668458,34633 m²,,aucune,olivier,,34633.85,510.15
Sfax,Agareb,Sakiet Ezzit,2273791,4966 m²,,électricité,vigne,,4966.78,457.8
Sfax,Sfax Sud,El Khazzanette,32148656,56075 m²,,,,,56075.52,573.31
Sfax,Sakiet Eddaier,Agareb,16095552,44265 m²,,électricité,agrumes,,44265.98,363.61
Sfax,Sfax Sud,Route El Ain,5824293,28208 m²,,,vigne,titre foncier,28208.91,206.47
Sfax,Agareb,Route de Mahdia,6344799,47813 m²,,,agrumes,titre foncier,47813.11,132.7
Sfax,Agareb,El Attaya,9890062,21080 m²,,eau,,titre foncier,21080.81,469.15
Sfax,Sakiet Eddaier,Sidi Salah,9501516,37269 m²,,électricité,vigne,,37269.62,254.94
Sfax,Agareb,Sakiet Eddaier,5083922,14437 m²,,aucune,olivier,,14437.63,352.13
Sfax,Sfax Sud,Agareb,6667888,26945 m²,,,,titre foncier,26945.32,247.46
Sfax,Agareb,Menzel Chaker,2201092,6574 m²,,eau,agrumes,titre foncier,6574.94,334.77
Sfax,Agareb,Route Teniour,3567838,53992 m²,,électricité,agrumes,titre foncier,53992.72,66.08
Sfax,Agareb,Sakiet Ezzit,254770,4420 m²,,aucune,olivier,titre foncier,4420.03,57.64
Sfax,Agareb,El Khazzanette,6170209,49663 m²,,,agrumes,titre foncier,49663.63,124.24
Sfax,Agareb,Route Teniour,1312621,10806 m²,,électricité,agrumes,,10806.14,121.47
Sfax,Sakiet Eddaier,El Attaya,27682648,57658 m²,,aucune,vigne,,57658.97,480.11
Sfax,Sakiet Eddaier,Menzel Chaker,15619348,46111 m²,,électricité,vigne,,46111.5,338.73
Sfax,Agareb,Agareb,21554251,41448 m²,,aucune,,titre foncier,41448.89,520.02
Sfax,Agareb,Sidi Salah,11717834,36294 m²,,aucune,vigne,titre foncier,36294.98,322.85
Sfax,Sakiet Eddaier,Sakiet Ezzit,22377773,53638 m²,,eau,vigne,,53638.0,417.2
Sfax,Agareb,Sakiet Eddaier,15902386,34580 m²,,électricité,vigne,titre foncier,34580.93,459.86
Sfax,Agareb,Route El Ain,6383448,34952 m²,,,olivier,titre foncier,34952.9,182.63
Sfax,Agareb,Sakiet Eddaier,28916520,39481 m²,,eau,,titre foncier,39481.33,732.41
Sfax,Sakiet Eddaier,Sakiet Ezzit,16098644,50341 m²,,aucune,agrumes,titre foncier,50341.3,319.79
Sfax,Agareb,Sfax Sud,11794253,20545 m²,,aucune,,titre foncier,20545.69,574.05
Sfax,Agareb,Sfax Sud,1308590,56994 m²,,eau,olivier,,56994.38,22.96
Sfax,Sfax Sud,Sakiet Ezzit,13573165,21062 m²,,,vigne,,21062.28,644.43
Sfax,Sfax Sud,Menzel Chaker,528359,14388 m²,,aucune,,titre foncier,14388.87,36.72
Sfax,Agareb,Route Teniour,13889740,39142 m²,,,agrumes,titre foncier,39142.57,354.85
Sfax,Agareb,Sidi Salah,14274174,26962 m²,,,agrumes,,26962.42,529.41
Sfax,Sakiet Eddaier,Agareb,6344890,16388 m²,,eau,vigne,titre foncier,16388.29,387.16
Sfax,Agareb,Agareb,13564364,24302 m²,,électricité,,titre foncier,24302.8,558.14
Sfax,Agareb,Route de Mahdia,9923608,56767 m²,,électricité,vigne,titre foncier,56767.97,174.81
Sfax,Agareb,Route Teniour,204685,2243 m²,,électricité,olivier,,2243.38,91.24
Sfax,Sakiet Eddaier,El Attaya,26972034,56332 m²,,,olivier,titre foncier,56332.57,478.8
Sfax,Sakiet Eddaier,Route Teniour,94204,304 m²,,aucune,vigne,,304.09,309.79
Sfax,Agareb,El Attaya,1122915,4112 m²,,,olivier,,4112.64,273.04
Sfax,Sakiet Eddaier,Sakiet Eddaier,15463975,43812 m²,,aucune,,titre foncier,43812.26,352.96
Sfax,Sakiet Eddaier,Route Teniour,14870776,40606 m²,,électricité,,,40606.13,366.22
Sfax,Agareb,Sidi Salah,26204007,37498 m²,,aucune,,,37498.58,698.8
Sfax,Agareb,Sakiet Ezzit,73612,3153 m²,,aucune,vigne,,3153.93,23.34
Sfax,Sfax Sud,Sakiet Eddaier,22617853,46603 m²,,aucune,,,46603.04,485.33
Sfax,Sakiet Eddaier,Sakiet Eddaier,16835554,30197 m²,,électricité,,titre foncier,30197.22,557.52
Sfax,Sfax Sud,Sakiet Eddaier,20520684,32294 m²,,électricité,vigne,titre foncier,32294.17,635.43
Sfax,Sfax Sud,Thyna,16578423,25574 m²,,eau,olivier,,25574.91,648.23
Sfax,Sfax Sud,Menzel Chaker,3471113,9338 m²,,,agrumes,titre foncier,9338.48,371.7
Sfax,Agareb,Sfax Sud,2434110,4098 m²,,,agrumes,titre foncier,4098.45,593.91
Sfax,Agareb,Route de Mahdia,24678473,51781 m²,,électricité,vigne,titre foncier,51781.35,476.59
Sfax,Sfax Sud,Essaltania,12049221,45058 m²,,électricité,olivier,,45058.98,267.41
Sfax,Sakiet Eddaier,El Khazzanette,12128193,31614 m²,,,agrumes,,31614.3,383.63
Sfax,Sfax Sud,Sakiet Eddaier,12139132,24788 m²,,eau,,,24788.41,489.71
Sfax,Agareb,Route de Mahdia,14111267,45458 m²,,,agrumes,titre foncier,45458.63,310.42
Sfax,Agareb,Menzel Chaker,21835353,32288 m²,,eau,,titre foncier,32288.4,676.26
Sfax,Agareb,El Khazzanette,5878829,33032 m²,,,,titre foncier,33032.7,177.97
Sfax,Sfax Sud,El Khazzanette,443613,9154 m²,,,vigne,,9154.23,48.46
Sfax,Agareb,Sidi Salah,8317419,53027 m²,,,agrumes,titre foncier,53027.86,156.85
Sfax,Agareb,Route El Ain,13362015,21864 m²,,aucune,agrumes,titre foncier,21864.44,611.13
Sfax,Sfax Sud,Essaltania,14036634,28406 m²,,électricité,vigne,titre foncier,28406.19,494.14
Sfax,Sakiet Eddaier,Sfax Sud,1996084,3267 m²,,eau,agrumes,titre foncier,3267.77,610.84
Sfax,Agareb,El Attaya,32892951,51319 m²,,électricité,vigne,titre foncier,51319.86,640.94
Sfax,Agareb,Route de Mahdia,6025873,20926 m²,,eau,,,20926.08,287.96
Sfax,Sfax Sud,Agareb,9367233,44716 m²,,aucune,olivier,,44716.6,209.48
Sfax,Agareb,El Khazzanette,17634761,52553 m²,,aucune,,titre foncier,52553.23,335.56
Sfax,Sfax Sud,Route El Ain,9259430,13155 m²,,eau,vigne,,13155.59,703.84
Sfax,Sakiet Eddaier,El Attaya,20749085,45017 m²,,eau,olivier,,45017.65,460.91
Sfax,Sakiet Eddaier,Sidi Salah,3379001,23506 m²,,électricité,olivier,,23506.1,143.75
Sfax,Sfax Sud,Sfax Sud,17330967,44643 m²,,électricité,olivier,titre foncier,44643.28,388.21
Sfax,Agareb,Thyna,17338630,35874 m²,,électricité,vigne,,35874.76,483.31
Sfax,Agareb,Route de Mahdia,30428958,44630 m²,,eau,agrumes,,44630.33,681.8
Sfax,Sakiet Eddaier,Essaltania,9153193,35085 m²,,,olivier,titre foncier,35085.84,260.88
Sfax,Sakiet Eddaier,Sakiet Ezzit,30550096,59377 m²,,aucune,vigne,,59377.07,514.51
Sfax,Sfax Sud,Menzel Chaker,37696601,55189 m²,,,agrumes,,55189.45,683.04
Sfax,Agareb,Sfax Sud,634910,15534 m²,,,agrumes,titre foncier,15534.87,40.87
Sfax,Agareb,El Attaya,2383798,9209 m²,,électricité,agrumes,,9209.19,258.85
Sfax,Agareb,Sakiet Ezzit,121947,787 m²,,aucune,agrumes,,787.52,154.85
Sfax,Agareb,El Attaya,4614030,6945 m²,,,olivier,titre foncier,6945.18,664.35
Sfax,Sakiet Eddaier,Sakiet Eddaier,551746,40039 m²,,eau,olivier,,40039.69,13.78
Sfax,Agareb,Sakiet Eddaier,674435,1141 m²,,électricité,olivier,,1141.64,590.76
Sfax,Agareb,Essaltania,330775,1323 m²,,aucune,olivier,,1323.42,249.94
Sfax,Sakiet Eddaier,Sakiet Ezzit,18472721,35999 m²,,,,,35999.38,513.14
Sfax,Agareb,Thyna,6069524,18643 m²,,aucune,,titre foncier,18643.91,325.55
Sfax,Sfax Sud,El Khazzanette,5633680,20609 m²,,eau,olivier,,20609.77,273.35
Sfax,Sfax Sud,El Khazzanette,15052808,31155 m²,,,agrumes,,31155.56,483.15
Sfax,Sakiet Eddaier,Thyna,18396694,34776 m²,,électricité,agrumes,titre foncier,34776.36,529.0
Sfax,Agareb,Sakiet Eddaier,12764530,30125 m²,,,olivier,,30125.63,423.71
Sfax,Agareb,Sakiet Eddaier,31416139,44483 m²,,électricité,vigne,,44483.03,706.25
Sfax,Sfax Sud,Menzel Chaker,11145892,18569 m²,,aucune,vigne,titre foncier,18569.06,600.24
Sfax,Agareb,El Khazzanette,7310063,24529 m²,,électricité,olivier,titre foncier,24529.59,298.01
Sfax,Sfax Sud,Sfax Sud,8871303,37695 m²,,eau,vigne,,37695.69,235.34
Sfax,Sakiet Eddaier,El Khazzanette,4325997,12343 m²,,aucune,vigne,titre foncier,12343.77,350.46
Sfax,Sakiet Eddaier,El Attaya,373395,633 m²,,,,titre foncier,633.54,589.38
Sfax,Sfax Sud,Sakiet Ezzit,1579563,5070 m²,,,,,5070.18,311.54
Sfax,Sfax Sud,Sidi Salah,10398110,36687 m²,,eau,vigne,titre foncier,36687.99,283.42
Sfax,Sfax Sud,El Attaya,19851704,30979 m²,,aucune,vigne,,30979.08,640.81
Sfax,Sfax Sud,Route Teniour,29739794,55756 m²,,eau,agrumes,titre foncier,55756.19,533.39
Sfax,Sakiet Eddaier,Sfax Sud,14087188,45759 m²,,aucune,vigne,,45759.91,307.85
Sfax,Agareb,Sakiet Ezzit,1182840,3810 m²,,aucune,olivier,titre foncier,3810.82,310.39
Sfax,Sfax Sud,El Attaya,20166616,38507 m²,,aucune,agrumes,,38507.22,523.71
Sfax,Agareb,El Attaya,9912481,42359 m²,,eau,olivier,,42359.22,234.01
Sfax,Sakiet Eddaier,Sakiet Ezzit,1528943,46828 m²,,électricité,olivier,titre foncier,46828.28,32.65
Sfax,Sfax Sud,Menzel Chaker,36403637,58235 m²,,eau,vigne,titre foncier,58235.57,625.11
Sfax,Sfax Sud,Route El Ain,26136810,56269 m²,,électricité,olivier,titre foncier,56269.91,464.49
Sfax,Sakiet Eddaier,Sfax Sud,388849,5731 m²,,,,,5731.01,67.85
Sfax,Sakiet Eddaier,Sfax Sud,6497870,14480 m²,,électricité,olivier,,14480.58,448.73
Sfax,Sfax Sud,Sidi Salah,7328438,26394 m²,,aucune,vigne,,26394.52,277.65
Sfax,Sakiet Eddaier,Sakiet Ezzit,4333160,13592 m²,,aucune,olivier,titre foncier,13592.95,318.78
Sfax,Agareb,Essaltania,262082,7594 m²,,électricité,olivier,,7594.4,34.51
Sfax,Sfax Sud,Sakiet Ezzit,2471149,4169 m²,,eau,,titre foncier,4169.45,592.68
Sfax,Agareb,Route de Mahdia,1483656,4507 m²,,électricité,agrumes,,4507.95,329.12
Sfax,Sakiet Eddaier,Route de Mahdia,21140570,43975 m²,,eau,vigne,titre foncier,43975.06,480.74
Sfax,Sakiet Eddaier,Agareb,15412877,31683 m²,,,agrumes,,31683.75,486.46
Sfax,Sfax Sud,Agareb,9310263,12864 m²,,eau,olivier,titre foncier,12864.1,723.74
Sfax,Sakiet Eddaier,Route Teniour,5973189,17756 m²,,eau,olivier,titre foncier,17756.21,336.4
Sfax,Sakiet Eddaier,Essaltania,1531833,27720 m²,,électricité,agrumes,,27720.47,55.26
Sfax,Sfax Sud,Essaltania,2671613,34791 m²,,eau,agrumes,,34791.17,76.79
Sfax,Sakiet Eddaier,Essaltania,806456,17302 m²,,,vigne,titre foncier,17302.23,46.61
Sfax,Sakiet Eddaier,Route Teniour,738439,46037 m²,,eau,olivier,,46037.39,16.04
Sfax,Agareb,Sakiet Eddaier,3318778,4964 m²,,aucune,olivier,,4964.59,668.49
Sfax,Sakiet Eddaier,Thyna,13089995,31327 m²,,électricité,olivier,,31327.77,417.84
Sfax,Agareb,Route Teniour,32380365,54166 m²,,,,titre foncier,54166.79,597.79
Sfax,Sakiet Eddaier,Route El Ain,407669,4465 m²,,aucune,agrumes,,4465.16,91.3
Sfax,Sakiet Eddaier,Thyna,3854994,20077 m²,,électricité,,,20077.05,192.01
Sfax,Agareb,Route El Ain,2446160,35166 m²,,,agrumes,titre foncier,35166.19,69.56
Sfax,Sfax Sud,El Khazzanette,767871,6035 m²,,électricité,agrumes,titre foncier,6035.3,127.23
Sfax,Agareb,Thyna,12810732,44321 m²,,électricité,,titre foncier,44321.66,289.04
Sfax,Sakiet Eddaier,El Attaya,3971813,5714 m²,,,,titre foncier,5714.51,695.04
Sfax,Sfax Sud,Agareb,1039328,33865 m²,,électricité,,,33865.38,30.69
Sfax,Sakiet Eddaier,Sidi Salah,5303735,39823 m²,,eau,olivier,titre foncier,39823.81,133.18
Sfax,Sfax Sud,Sakiet Eddaier,24173157,48862 m²,,aucune,vigne,,48862.3,494.72
Sfax,Sakiet Eddaier,El Khazzanette,11232346,59676 m²,,électricité,agrumes,,59676.69,188.22
Sfax,Agareb,Route El Ain,6857014,30813 m²,,électricité,agrumes,,30813.89,222.53
Sfax,Sakiet Eddaier,Sakiet Eddaier,2072201,6890 m²,,aucune,vigne,,6890.8,300.72
Sfax,Agareb,Route de Mahdia,30666102,56546 m²,,eau,,,56546.14,542.32
Sfax,Agareb,Sidi Salah,1274150,2056 m²,,eau,olivier,titre foncier,2056.74,619.5
Sfax,Agareb,El Attaya,8011471,53595 m²,,eau,olivier,,53595.61,149.48
Sfax,Sfax Sud,Essaltania,37071610,58463 m²,,aucune,vigne,titre foncier,58463.35,634.1
Sfax,Sfax Sud,Sakiet Ezzit,3055456,44559 m²,,aucune,olivier,titre foncier,44559.67,68.57
Sfax,Sakiet Eddaier,Thyna,14715256,32412 m²,,électricité,vigne,,32412.46,454.0
Sfax,Agareb,Essaltania,23060926,59221 m²,,aucune,agrumes,titre foncier,59221.69,389.4
Sfax,Agareb,Route El Ain,27591532,58692 m²,,eau,olivier,,58692.9,470.1
Sfax,Sakiet Eddaier,Menzel Chaker,14718951,54956 m²,,aucune,vigne,titre foncier,54956.32,267.83
Sfax,Sfax Sud,El Attaya,17047533,31587 m²,,,vigne,titre foncier,31587.64,539.69
Sfax,Sakiet Eddaier,El Khazzanette,14867084,27443 m²,,électricité,agrumes,titre foncier,27443.21,541.74
Sfax,Sakiet Eddaier,Menzel Chaker,3913380,45121 m²,,aucune,olivier,titre foncier,45121.42,86.73
Sfax,Sfax Sud,Thyna,21168137,29212 m²,,eau,,titre foncier,29212.34,724.63
Sfax,Sfax Sud,Menzel Chaker,4286003,27820 m²,,,vigne,,27820.35,154.06
Sfax,Agareb,Route El Ain,5937972,19149 m²,,,vigne,,19149.19,310.09
Sfax,Sfax Sud,Sidi Salah,729911,1569 m²,,,agrumes,titre foncier,1569.6,465.03
Sfax,Sfax Sud,Thyna,7889447,14467 m²,,,vigne,,14467.29,545.33
Sfax,Sakiet Eddaier,Route de Mahdia,3907738,12385 m²,,aucune,olivier,,12385.86,315.5
Sfax,Agareb,Route de Mahdia,257238,2501 m²,,,agrumes,titre foncier,2501.83,102.82
Sfax,Agareb,Route El Ain,14710568,50631 m²,,aucune,agrumes,,50631.82,290.54
Sfax,Sakiet Eddaier,Sfax Sud,4999978,32185 m²,,,agrumes,titre foncier,32185.25,155.35
Sfax,Sakiet Eddaier,Essaltania,2264092,15384 m²,,eau,vigne,titre foncier,15384.2,147.17
Sfax,Agareb,Menzel Chaker,20381557,39859 m²,,électricité,olivier,,39859.89,511.33
Sfax,Sfax Sud,Route El Ain,13007437,36446 m²,,aucune,agrumes,,36446.63,356.89
Sfax,Agareb,Sakiet Ezzit,30725282,50665 m²,,,,,50665.0,606.44
Sfax,Agareb,Sakiet Ezzit,2188045,19851 m²,,eau,agrumes,titre foncier,19851.62,110.22
Sfax,Sakiet Eddaier,Route de Mahdia,3365567,45126 m²,,aucune,agrumes,titre foncier,45126.94,74.58
Sfax,Sfax Sud,Thyna,13889167,21569 m²,,eau,vigne,titre foncier,21569.04,643.94
Sfax,Sfax Sud,Menzel Chaker,1912008,7521 m²,,,agrumes,,7521.67,254.2
Sfax,Sfax Sud,Route de Mahdia,22206287,47505 m²,,aucune,olivier,,47505.16,467.45
Sfax,Sakiet Eddaier,Thyna,22624463,31535 m²,,électricité,olivier,,31535.43,717.43
Sfax,Sfax Sud,Essaltania,6642440,19875 m²,,électricité,olivier,,19875.05,334.21
Sfax,Sakiet Eddaier,Sakiet Ezzit,5362572,19098 m²,,électricité,olivier,titre foncier,19098.16,280.79
Sfax,Sakiet Eddaier,Menzel Chaker,17116249,25831 m²,,aucune,olivier,titre foncier,25831.17,662.62
Sfax,Agareb,Menzel Chaker,9815883,24819 m²,,eau,,,24819.55,395.49
Sfax,Sakiet Eddaier,Sidi Salah,3456124,43544 m²,,eau,vigne,titre foncier,43544.47,79.37
Sfax,Sakiet Eddaier,Sakiet Eddaier,17433974,26697 m²,,eau,agrumes,titre foncier,26697.05,653.03
Sfax,Sfax Sud,Route El Ain,3877429,5613 m²,,électricité,olivier,,5613.28,690.76
Sfax,Sakiet Eddaier,Agareb,14096308,53153 m²,,électricité,vigne,,53153.5,265.2
Sfax,Sfax Sud,Sakiet Ezzit,11614196,29551 m²,,eau,,,29551.16,393.02
Sfax,Sakiet Eddaier,Sidi Salah,5812163,11942 m²,,,vigne,titre foncier,11942.72,486.67
Sfax,Sakiet Eddaier,Route de Mahdia,4138493,8015 m²,,aucune,olivier,titre foncier,8015.52,516.31
Sfax,Agareb,Route El Ain,5849465,16687 m²,,,agrumes,titre foncier,16687.49,350.53
Sfax,Agareb,Menzel Chaker,16097118,50826 m²,,,,titre foncier,50826.05,316.71
Sfax,Sfax Sud,Route Teniour,21691419,43621 m²,,,olivier,titre foncier,43621.01,497.27
Sfax,Sfax Sud,El Khazzanette,1600449,5466 m²,,,,,5466.95,292.75
Sfax,Sfax Sud,Sfax Sud,7733468,16226 m²,,eau,olivier,,16226.67,476.59
Sfax,Sfax Sud,Thyna,4276137,39506 m²,,,olivier,,39506.07,108.24
Sfax,Agareb,Sakiet Eddaier,23752266,45210 m²,,eau,agrumes,,45210.55,525.37
Sfax,Sfax Sud,Route de Mahdia,767242,4318 m²,,,olivier,titre foncier,4318.6,177.66
Sfax,Agareb,El Attaya,6694814,17090 m²,,eau,olivier,,17090.38,391.73
Sfax,Agareb,Sfax Sud,13654425,54025 m²,,,agrumes,titre foncier,54025.58,252.74
Sfax,Agareb,Sakiet Eddaier,10980681,17456 m²,,aucune,olivier,titre foncier,17456.53,629.03
Sfax,Sfax Sud,Agareb,16168135,32128 m²,,eau,agrumes,,32128.72,503.23
Sfax,Agareb,Thyna,2751256,4742 m²,,,,,4742.32,580.15
Sfax,Sakiet Eddaier,Agareb,14817938,26184 m²,,électricité,agrumes,titre foncier,26184.73,565.9
Sfax,Sakiet Eddaier,Agareb,15493408,24973 m²,,aucune,,,24973.66,620.39
Sfax,Agareb,Sfax Sud,9124678,55240 m²,,,vigne,,55240.82,165.18
Sfax,Sfax Sud,Essaltania,9517030,50506 m²,,électricité,vigne,titre foncier,50506.98,188.43
Sfax,Sfax Sud,Essaltania,2803996,11235 m²,,eau,olivier,,11235.31,249.57
Sfax,Sakiet Eddaier,Sfax Sud,14616469,37298 m²,,électricité,,,37298.33,391.88
Sfax,Sakiet Eddaier,Sidi Salah,19652978,47054 m²,,aucune,olivier,titre foncier,47054.97,417.66
Sfax,Sakiet Eddaier,El Khazzanette,8283036,35877 m²,,aucune,vigne,,35877.49,230.87
Sfax,Sfax Sud,Essaltania,5915149,49280 m²,,eau,vigne,titre foncier,49280.59,120.03
Sfax,Agareb,Sfax Sud,2871413,23095 m²,,aucune,olivier,titre foncier,23095.1,124.33
Sfax,Sakiet Eddaier,Menzel Chaker,6410992,20166 m²,,aucune,agrumes,titre foncier,20166.06,317.91
Sfax,Agareb,El Khazzanette,4675644,7709 m²,,électricité,olivier,,7709.86,606.45
Sfax,Sakiet Eddaier,Sfax Sud,22262011,43030 m²,,électricité,vigne,,43030.02,517.36
Sfax,Sfax Sud,El Attaya,2679280,5362 m²,,eau,,titre foncier,5362.1,499.67
Sfax,Sfax Sud,El Attaya,6083752,27146 m²,,électricité,olivier,,27146.28,224.11
Sfax,Sfax Sud,Route El Ain,9428621,50194 m²,,électricité,agrumes,titre foncier,50194.96,187.84
Sfax,Agareb,Menzel Chaker,29759730,48898 m²,,aucune,vigne,titre foncier,48898.67,608.6
Sfax,Sakiet Eddaier,Sakiet Eddaier,6902761,20588 m²,,,vigne,titre foncier,20588.05,335.28
Sfax,Sfax Sud,Essaltania,11094188,16575 m²,,eau,vigne,,16575.56,669.31
Sfax,Sfax Sud,Essaltania,28272478,41789 m²,,aucune,agrumes,,41789.81,676.54
Sfax,Sakiet Eddaier,Route de Mahdia,34419284,55541 m²,,aucune,olivier,,55541.85,619.7
Sfax,Sfax Sud,El Attaya,29242855,46680 m²,,aucune,vigne,,46680.27,626.45
Sfax,Sakiet Eddaier,El Attaya,31792829,53666 m²,,aucune,,,53666.03,592.42
Sfax,Sakiet Eddaier,Route El Ain,2725862,10613 m²,,aucune,vigne,,10613.49,256.83
Sfax,Sfax Sud,Sfax Sud,13194796,37074 m²,,eau,,,37074.45,355.9
Sfax,Agareb,Route de Mahdia,21735711,50738 m²,,,olivier,titre foncier,50738.14,428.39
Sfax,Agareb,Essaltania,6299761,44464 m²,,,olivier,titre foncier,44464.72,141.68
Sfax,Sakiet Eddaier,El Khazzanette,5221682,10082 m²,,aucune,vigne,,10082.61,517.89
Sfax,Sakiet Eddaier,El Attaya,2948902,9753 m²,,aucune,,,9753.92,302.33
Sfax,Sakiet Eddaier,Sfax Sud,10616316,58627 m²,,,,titre foncier,58627.77,181.08
Sfax,Sakiet Eddaier,Route Teniour,7734566,12668 m²,,aucune,agrumes,,12668.61,610.53
Sfax,Agareb,Sakiet Ezzit,2349501,11132 m²,,,agrumes,,11132.44,211.05
Sfax,Agareb,Agareb,20749299,39184 m²,,eau,olivier,,39184.37,529.53
Sfax,Agareb,El Khazzanette,15621776,30403 m²,,aucune,,,30403.8,513.81
Sfax,Sfax Sud,Essaltania,27899708,43104 m²,,eau,,,43104.33,647.26
Sfax,Sfax Sud,Thyna,20912424,34447 m²,,eau,olivier,,34447.56,607.08
Sfax,Sakiet Eddaier,Sidi Salah,1047361,10800 m²,,,,titre foncier,10800.88,96.97
Sfax,Sakiet Eddaier,Thyna,36600193,59907 m²,,électricité,vigne,titre foncier,59907.02,610.95
Sfax,Sfax Sud,Sfax Sud,31378207,42500 m²,,,agrumes,,42500.62,738.3
Sfax,Sakiet Eddaier,Route El Ain,11740572,17088 m²,,,vigne,titre foncier,17088.63,687.04
Sfax,Sfax Sud,Route Teniour,14503124,41691 m²,,électricité,agrumes,,41691.22,347.87
Sfax,Sfax Sud,Menzel Chaker,6150435,35603 m²,,eau,agrumes,titre foncier,35603.1,172.75
Sfax,Sakiet Eddaier,Agareb,30263786,44579 m²,,eau,,titre foncier,44579.65,678.87
Sfax,Sfax Sud,Route Teniour,34613,569 m²,,aucune,olivier,titre foncier,569.4,60.79
Sfax,Sakiet Eddaier,Sakiet Ezzit,4500338,29851 m²,,aucune,agrumes,titre foncier,29851.01,150.76
Sfax,Sfax Sud,Sakiet Ezzit,27904735,58802 m²,,électricité,agrumes,titre foncier,58802.52,474.55
Sfax,Sakiet Eddaier,Menzel Chaker,4585129,10156 m²,,eau,vigne,titre foncier,10156.0,451.47
Sfax,Agareb,Thyna,8719009,19079 m²,,aucune,olivier,,19079.63,456.98
Sfax,Sakiet Eddaier,Sakiet Ezzit,17939850,36823 m²,,aucune,,,36823.11,487.19
Sfax,Sfax Sud,Route de Mahdia,2989987,39914 m²,,eau,olivier,,39914.4,74.91
Sfax,Sfax Sud,Sakiet Ezzit,1424702,4130 m²,,aucune,vigne,titre foncier,4130.65,344.91
Sfax,Sakiet Eddaier,Sidi Salah,17159146,47723 m²,,aucune,olivier,,47723.95,359.55
Sfax,Agareb,Sfax Sud,29198996,56348 m²,,aucune,olivier,titre foncier,56348.05,518.19
Sfax,Sfax Sud,Route El Ain,30970674,52650 m²,,,vigne,,52650.62,588.23
Sfax,Agareb,Essaltania,6957464,45122 m²,,,agrumes,,45122.67,154.19
Sfax,Sakiet Eddaier,Essaltania,13628055,38677 m²,,aucune,agrumes,,38677.61,352.35
Sfax,Sakiet Eddaier,Route Teniour,4362537,50580 m²,,,olivier,titre foncier,50580.15,86.25
Sfax,Agareb,El Khazzanette,10488583,17022 m²,,électricité,agrumes,titre foncier,17022.5,616.16
Sfax,Agareb,Route de Mahdia,19184662,39685 m²,,aucune,agrumes,titre foncier,39685.29,483.42
Sfax,Sakiet Eddaier,Route Teniour,3096457,9623 m²,,eau,,,9623.8,321.75
Sfax,Sakiet Eddaier,Essaltania,5775227,24686 m²,,,vigne,,24686.79,233.94
Sfax,Sakiet Eddaier,Sakiet Eddaier,1384039,8600 m²,,électricité,,,8600.26,160.93
Sfax,Agareb,El Khazzanette,19000897,36554 m²,,,vigne,,36554.95,519.79
Sfax,Sfax Sud,El Attaya,18503816,39593 m²,,,olivier,titre foncier,39593.06,467.35
Sfax,Sakiet Eddaier,Sakiet Ezzit,21131300,49951 m²,,électricité,vigne,titre foncier,49951.07,423.04
Sfax,Sfax Sud,Route de Mahdia,20180655,40766 m²,,,,,40766.53,495.03
Sfax,Sakiet Eddaier,El Khazzanette,28975014,42713 m²,,eau,agrumes,,42713.96,678.35
Sfax,Agareb,Route Teniour,28284172,54918 m²,,aucune,,titre foncier,54918.59,515.02
Sfax,Sfax Sud,Sfax Sud,12073998,35915 m²,,aucune,,,35915.28,336.18
Sfax,Sfax Sud,Route Teniour,16084727,32775 m²,,,vigne,,32775.14,490.76
Sfax,Sfax Sud,El Attaya,2551204,31739 m²,,aucune,vigne,,31739.29,80.38
Sfax,Sakiet Eddaier,Menzel Chaker,1295563,30178 m²,,électricité,agrumes,,30178.52,42.93
Sfax,Sakiet Eddaier,Route El Ain,16068103,50664 m²,,électricité,vigne,titre foncier,50664.05,317.15
Sfax,Agareb,Menzel Chaker,5719613,51840 m²,,électricité,,,51840.96,110.33
Sfax,Sakiet Eddaier,El Attaya,7648381,31037 m²,,électricité,,,31037.99,246.42
Sfax,Agareb,Essaltania,30504,640 m²,,électricité,,,640.31,47.64
