Gouvernorat,Délégation,Prix,Taille,Proximité,Infrastructure,Type_Agriculture,Additional_Features,Taille_m2,Prix_m2
Manouba,Djedeida,350000,2350 m²,,,,titre foncier,2350.0,148.93617021276594
Nabeul,Al Haouaria,80000,4000 m²,,,,,4000.0,20.0
Nabeul,Kélibia,600000,35000 m²,,,,,35000.0,17.142857142857142
Nabeul,Nabeul,340000,2250 m²,,"puit, eau",,maison,2250.0,151.11111111111111
Nabeul,Menzel Temime,180000,4000 m²,,eau,,,4000.0,45.0
Nabeul,Kélibia,230000,8000 m²,,eau,,,8000.0,28.75
Sousse,Kalâa Kebira,60000,3066 m²,,,,,3066.0,19.569471624266143
Nabeul,Grombalia,650000,22500 m²,,eau,,,22500.0,28.88888888888889
Nabeul,Kélibia,420000,3453 m²,,,,villa,3453.0,121.63336229365768
Nabeul,Hammam El Ghezaz,240000,3000 m²,,eau,,titre foncier,3000.0,80.0
Nabeul,Menzel Temime,170000,1 ha,,,,,10000.0,17.0
Nabeul,Hammamet,240000,2 ha,,électricité,oliviers,bâtiment,20000.0,12.0
Nabeul,Dar Chaabane,190000,6000 m²,,eau,arbres,,6000.0,31.666666666666668
Monastir,Ouardanine,150000,10100 m²,,"eau, électricité",oliviers,,10100.0,14.851485148514852
Nabeul,Menzel Temime,450000,2100 m²,vue sur mer,"puit, eau",,"clôture, titre foncier",2100.0,214.28571428571428
Nabeul,Barraket Essahel,240000,2 ha,,électricité,oliviers,bâtiment,20000.0,12.0
Nabeul,Kélibia,240000,19801 m²,,,,titre foncier,19801.0,12.1205999696985
Nabeul,Kélibia,134000,2000 m²,,eau,,titre foncier,2000.0,67.0
Sousse,Bouficha,1723000,17230 m²,,eau,oliviers,,17230.0,100.0
Manouba,Djedeida,1681250,6725 m²,,"sondage, eau",oliviers,"clôture, titre foncier",6725.0,250.0
Sidi bouzid,Sidi Bouzid Est,1500000,50000 m²,,eau,,,50000.0,30.0
Nabeul,Nabeul,380000,2 ha,,,,,20000.0,19.0
Bizerte,Utique,1100000,4 ha,,sondage,olivier,"maison, villa",40000.0,27.5
Sousse,Akouda,182500,1825 m²,,eau,,,1825.0,100.0
Nabeul,Kélibia,540000,3 ha,,,,titre foncier,30000.0,18.0
