Gouvernorat,Délégation,Prix,Taille,Proximité,Infrastructure,Type_Agriculture,Additional_Features,Taille_m2,Prix_m2
Sfax,Menzel Chaker,409003,2655 m²,,"sondage, eau",Olives,titre foncier,2655.0,154.05
Sfax,Skhira,2531070,7329 m²,,"puit, électricité",Olives,"clôture, titre foncier",7329.0,345.35
Sfax,Menzel Chaker,2190637,6971 m²,,"sondage, électricité",Figuiers,"clôture, titre foncier",6971.0,314.25
Sfax,Skhira,3026831,13089 m²,,"puit, eau",Olives,"clôture, titre foncier",13089.0,231.25
Sfax,Menzel Chaker,5747750,13850 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",13850.0,415.0
Sfax,Agareb,1653294,3575 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",3575.0,462.46
Sfax,Route Teniour,2408926,7744 m²,,"sondage, électricité",Olives,"clôture, titre foncier",7744.0,311.07
Sfax,El Hencha,6127680,19576 m²,,"puit, électricité",Olives,"clôture, titre foncier",19576.0,313.02
Sfax,El Hencha,3246596,12053 m²,,"puit, eau",,"clôture, titre foncier",12053.0,269.36
Sfax,Sakiet Eddaier,4036849,12073 m²,,"puit, électricité",Olives,"clôture, titre foncier",12073.0,334.37
Sfax,Route de Mahdia,1269169,10572 m²,,,,titre foncier,10572.0,120.05
Sfax,Menzel Chaker,6798077,18728 m²,près du centre,"sondage, électricité",Figuiers,"clôture, titre foncier",18728.0,362.99
Sfax,Sfax Sud,1591789,7886 m²,,"sondage, eau",Olives,"clôture, titre foncier",7886.0,201.85
Sfax,Route de Gremda,3879151,9987 m²,près du centre,"sondage, électricité",Oliviers,"clôture, titre foncier",9987.0,388.42
Sfax,Route de Gremda,6192942,15104 m²,près du centre,"puit, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",15104.0,410.02
Sfax,Sfax Sud,1639663,3542 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",3542.0,462.92
Sfax,Sidi Salah,5406314,10886 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",10886.0,496.63
Sfax,Sfax Sud,5856934,15725 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",15725.0,372.46
Sfax,Ghraiba,2881266,10753 m²,,"sondage, eau",Olives,"clôture, titre foncier",10753.0,267.95
Sfax,Sidi Salah,6452147,19370 m²,,"sondage, électricité",Olives,"clôture, titre foncier",19370.0,333.1
Sfax,Ghraiba,1102416,12437 m²,,eau,,,12437.0,88.64
Sfax,Sakiet Eddaier,1753959,7286 m²,,"puit, eau",,"clôture, titre foncier",7286.0,240.73
Sfax,Menzel Chaker,4643368,13045 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",13045.0,355.95
Sfax,El Hencha,7172666,17858 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",17858.0,401.65
Sfax,Sfax Médina,6030423,16553 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",16553.0,364.31
Sfax,El Hencha,4290706,11713 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",11713.0,366.32
Sfax,Sidi Salah,1605262,8550 m²,,"sondage, eau",,titre foncier,8550.0,187.75
Sfax,El Attaya,1534174,5915 m²,,"puit, eau",,"clôture, titre foncier",5915.0,259.37
Sfax,Sakiet Ezzit,9296430,18876 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",18876.0,492.5
Sfax,Sakiet Eddaier,4264110,15015 m²,,"sondage, eau",Olives,"clôture, titre foncier",15015.0,283.99
Sfax,Route de Mahdia,6971686,17330 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",17330.0,402.29
Sfax,Agareb,3757702,15396 m²,,"sondage, eau",Olives,"clôture, titre foncier",15396.0,244.07
Sfax,Skhira,2586703,17605 m²,,,,titre foncier,17605.0,146.93
Sfax,Skhira,5123314,15957 m²,,"sondage, électricité",Olives,"clôture, titre foncier",15957.0,321.07
Sfax,El Attaya,2704420,12076 m²,,"sondage, eau",,"clôture, titre foncier",12076.0,223.95
Sfax,El Attaya,1054123,3913 m²,,"puit, eau",,"clôture, titre foncier",3913.0,269.39
Sfax,Sidi Salah,3476651,16661 m²,,"sondage, eau",,"clôture, titre foncier",16661.0,208.67
Sfax,Route Teniour,1042860,10308 m²,,,,titre foncier,10308.0,101.17
Sfax,Route de Gremda,1188283,7498 m²,,"puit, eau",,titre foncier,7498.0,158.48
Sfax,Route de Gremda,3392635,18540 m²,,"sondage, eau",,titre foncier,18540.0,182.99
Sfax,Sakiet Eddaier,3648467,9498 m²,près du centre,"puit, électricité",Oliviers,"clôture, titre foncier",9498.0,384.13
Sfax,Route de Mahdia,820969,16302 m²,,eau,,,16302.0,50.36
Sfax,Sidi Salah,1558162,10139 m²,,"sondage, eau",Olives,titre foncier,10139.0,153.68
Sfax,Route de Gremda,2670112,11253 m²,,"puit, eau",,"clôture, titre foncier",11253.0,237.28
Sfax,Sidi Salah,5869348,15642 m²,près du centre,"sondage, électricité",Figuiers,"clôture, titre foncier",15642.0,375.23
Sfax,Route Teniour,1663728,3755 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",3755.0,443.07
Sfax,Thyna,2199750,5849 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",5849.0,376.09
Sfax,Route El Ain,5249558,10547 m²,près du centre,"sondage, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",10547.0,497.73
Sfax,Sakiet Ezzit,3646594,9899 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",9899.0,368.38
Sfax,Thyna,1648621,8535 m²,,"sondage, eau",,titre foncier,8535.0,193.16
Sfax,Skhira,2773558,17887 m²,,"puit, eau",,titre foncier,17887.0,155.06
Sfax,Route Teniour,7828480,17809 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",17809.0,439.58
Sfax,Menzel Chaker,334105,7083 m²,,eau,,,7083.0,47.17
Sfax,Route El Ain,4481367,17869 m²,,"puit, eau",,"clôture, titre foncier",17869.0,250.79
Sfax,El Attaya,2240696,4731 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",4731.0,473.62
Sfax,Sfax Sud,467450,5791 m²,,eau,,,5791.0,80.72
Sfax,Route de Gremda,6607592,15623 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",15623.0,422.94
Sfax,Agareb,1386108,3086 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",3086.0,449.16
Sfax,Sakiet Ezzit,5227341,18215 m²,,"sondage, eau",,"clôture, titre foncier",18215.0,286.98
Sfax,Sfax Ville,2582839,11034 m²,,"puit, eau",Olives,"clôture, titre foncier",11034.0,234.08
Sfax,Thyna,5715493,17689 m²,,"puit, électricité",Olives,"clôture, titre foncier",17689.0,323.11
Sfax,Route Teniour,1462157,11467 m²,,,,titre foncier,11467.0,127.51
Sfax,Menzel Chaker,2200049,9160 m²,,"sondage, eau",Olives,"clôture, titre foncier",9160.0,240.18
Sfax,Skhira,2281383,7555 m²,,"puit, électricité",Oliviers,"clôture, titre foncier",7555.0,301.97
Sfax,Sfax Ville,4834058,10940 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",10940.0,441.87
Sfax,Ghraiba,5900812,13607 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",13607.0,433.66
Sfax,Thyna,4511675,14277 m²,,"sondage, électricité",Olives,"clôture, titre foncier",14277.0,316.01
Sfax,Route de Mahdia,1693192,17443 m²,,eau,,,17443.0,97.07
Sfax,El Attaya,4095990,10610 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",10610.0,386.05
Sfax,Route de Mahdia,4589917,16962 m²,,"sondage, eau",Olives,"clôture, titre foncier",16962.0,270.6
Sfax,Ghraiba,474870,1531 m²,,"sondage, électricité",Figuiers,"clôture, titre foncier",1531.0,310.17
Sfax,Sidi Salah,3579776,15590 m²,,"sondage, eau",,"clôture, titre foncier",15590.0,229.62
Sfax,Route Teniour,4313725,18368 m²,,"sondage, eau",Olives,"clôture, titre foncier",18368.0,234.85
Sfax,Sidi Salah,2548559,14758 m²,,"sondage, eau",Olives,titre foncier,14758.0,172.69
Sfax,Route de Gremda,5274493,13477 m²,près du centre,"sondage, électricité",Figuiers,"clôture, titre foncier",13477.0,391.37
Sfax,Route de Mahdia,1913868,5182 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",5182.0,369.33
Sfax,Skhira,1301656,4251 m²,,"puit, électricité",Oliviers,"clôture, titre foncier",4251.0,306.2
Sfax,Route Teniour,3374314,10723 m²,,"sondage, électricité",Olives,"clôture, titre foncier",10723.0,314.68
Sfax,Sfax Sud,1226606,4356 m²,,"puit, eau",Olives,"clôture, titre foncier",4356.0,281.59
Sfax,El Hencha,4289539,16091 m²,,"sondage, eau",Olives,"clôture, titre foncier",16091.0,266.58
Sfax,El Attaya,3787784,8470 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",8470.0,447.2
Sfax,Skhira,740082,12595 m²,,eau,,,12595.0,58.76
Sfax,Sfax Sud,3056334,14172 m²,,"sondage, eau",,"clôture, titre foncier",14172.0,215.66
Sfax,Sfax Ville,3761973,14728 m²,,"puit, eau",Olives,"clôture, titre foncier",14728.0,255.43
Sfax,Sfax Sud,1473974,3799 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",3799.0,387.99
Sfax,Sfax Médina,4340397,18919 m²,,"puit, eau",Olives,"clôture, titre foncier",18919.0,229.42
Sfax,Sakiet Ezzit,2836985,19112 m²,,,,titre foncier,19112.0,148.44
Sfax,Route Teniour,4555379,11366 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",11366.0,400.79
Sfax,Route de Mahdia,3576667,15958 m²,,"sondage, eau",Olives,"clôture, titre foncier",15958.0,224.13
Sfax,Sfax Médina,1333775,3131 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",3131.0,425.99
Sfax,El Attaya,1795069,4848 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",4848.0,370.27
Sfax,Route Teniour,1093821,2442 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",2442.0,447.92
Sfax,Sfax Ville,6917444,14907 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",14907.0,464.04
Sfax,Route de Gremda,7034932,15057 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",15057.0,467.22
Sfax,Sakiet Ezzit,7260780,18378 m²,près du centre,"sondage, électricité",Figuiers,"clôture, titre foncier",18378.0,395.08
Sfax,Sfax Médina,684594,3288 m²,,"puit, eau",Olives,"clôture, titre foncier",3288.0,208.21
Sfax,Sfax Médina,6859818,16989 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",16989.0,403.78
Sfax,Route Teniour,484139,4425 m²,,,,titre foncier,4425.0,109.41
Sfax,Sfax Ville,2229361,18933 m²,,,,titre foncier,18933.0,117.75
Sfax,Sidi Salah,3612974,9966 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",9966.0,362.53
Sfax,Sfax Sud,1064050,4404 m²,,"puit, eau",Olives,"clôture, titre foncier",4404.0,241.61
Sfax,Sfax Ville,3100778,10919 m²,,"sondage, eau",Olives,"clôture, titre foncier",10919.0,283.98
Sfax,Sfax Sud,3446859,10914 m²,,"puit, électricité",Olives,"clôture, titre foncier",10914.0,315.82
Sfax,Sfax Médina,1856182,12665 m²,,,,titre foncier,12665.0,146.56
Sfax,El Attaya,4327775,15942 m²,,"puit, eau",,"clôture, titre foncier",15942.0,271.47
Sfax,Route de Mahdia,2323208,14900 m²,,"puit, eau",Olives,titre foncier,14900.0,155.92
Sfax,Thyna,639333,9119 m²,,eau,,,9119.0,70.11
Sfax,Sfax Médina,2091602,6610 m²,,"puit, électricité",Olives,"clôture, titre foncier",6610.0,316.43
Sfax,Route Teniour,1278561,5254 m²,,"puit, eau",Olives,"clôture, titre foncier",5254.0,243.35
Sfax,Sidi Salah,1423255,6908 m²,,"puit, eau",Olives,"clôture, titre foncier",6908.0,206.03
Sfax,Menzel Chaker,2345332,12696 m²,,"sondage, eau",Olives,titre foncier,12696.0,184.73
Sfax,Sakiet Ezzit,2532796,17779 m²,,,,titre foncier,17779.0,142.46
Sfax,Sakiet Eddaier,4413574,18504 m²,,"puit, eau",Olives,"clôture, titre foncier",18504.0,238.52
Sfax,Skhira,1722488,5919 m²,,"sondage, eau",Olives,"clôture, titre foncier",5919.0,291.01
Sfax,Skhira,1893210,12284 m²,,"puit, eau",,titre foncier,12284.0,154.12
Sfax,Sfax Médina,1671180,12075 m²,,,,titre foncier,12075.0,138.4
Sfax,Sidi Salah,1652386,7358 m²,,"puit, eau",Olives,"clôture, titre foncier",7358.0,224.57
Sfax,Sfax Sud,2384118,6144 m²,près du centre,"puit, électricité",Oliviers,"clôture, titre foncier",6144.0,388.04
Sfax,Ghraiba,4683043,9760 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",9760.0,479.82
Sfax,Sidi Salah,7352416,15190 m²,près du centre,"puit, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",15190.0,484.03
Sfax,Sakiet Ezzit,2869273,16988 m²,,"sondage, eau",Olives,titre foncier,16988.0,168.9
Sfax,Ghraiba,1380114,3791 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",3791.0,364.05
Sfax,El Hencha,6719988,13638 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",13638.0,492.74
Sfax,Route de Mahdia,3355293,10360 m²,,"puit, électricité",Figuiers,"clôture, titre foncier",10360.0,323.87
Sfax,Route Teniour,1664906,17935 m²,,eau,,,17935.0,92.83
Sfax,Route de Mahdia,872241,5223 m²,,"sondage, eau",,titre foncier,5223.0,167.0
Sfax,Sfax Médina,4611069,15337 m²,,"puit, électricité",Figuiers,"clôture, titre foncier",15337.0,300.65
Sfax,El Hencha,6888143,13805 m²,près du centre,"puit, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",13805.0,498.96
Sfax,Sakiet Eddaier,5419030,11434 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",11434.0,473.94
Sfax,Route de Mahdia,6458093,16839 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",16839.0,383.52
Sfax,Agareb,554837,1851 m²,,"sondage, eau",Olives,"clôture, titre foncier",1851.0,299.75
Sfax,Sfax Ville,3725267,7690 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",7690.0,484.43
Sfax,Sidi Salah,6500170,19530 m²,,"puit, électricité",Olives,"clôture, titre foncier",19530.0,332.83
Sfax,Route Teniour,5226740,11385 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",11385.0,459.09
Sfax,Agareb,589044,1522 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",1522.0,387.02
Sfax,Sakiet Ezzit,4557562,9256 m²,près du centre,"sondage, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",9256.0,492.39
Sfax,Skhira,6108874,17943 m²,,"sondage, électricité",Figuiers,"clôture, titre foncier",17943.0,340.46
Sfax,El Hencha,2837730,17103 m²,,"sondage, eau",Olives,titre foncier,17103.0,165.92
Sfax,Sfax Médina,9004394,19202 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",19202.0,468.93
Sfax,Route Teniour,2349318,9483 m²,,"puit, eau",,"clôture, titre foncier",9483.0,247.74
Sfax,Skhira,9083219,18193 m²,près de la mer,"sondage, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",18193.0,499.27
Sfax,Route Teniour,2170026,5429 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",5429.0,399.71
Sfax,Route Teniour,2330015,10022 m²,,"puit, eau",Olives,"clôture, titre foncier",10022.0,232.49
Sfax,Skhira,3458664,9202 m²,près de la mer,"puit, électricité",Oliviers,"clôture, titre foncier",9202.0,375.86
Sfax,Sakiet Ezzit,3740687,14719 m²,,"sondage, eau",,"clôture, titre foncier",14719.0,254.14
Sfax,Route El Ain,8902015,18404 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",18404.0,483.7
Sfax,Sfax Médina,2062361,7204 m²,,"sondage, eau",,"clôture, titre foncier",7204.0,286.28
Sfax,Route de Mahdia,6206654,18459 m²,,"puit, électricité",Oliviers,"clôture, titre foncier",18459.0,336.24
Sfax,Skhira,3597295,10453 m²,,"sondage, électricité",Olives,"clôture, titre foncier",10453.0,344.14
Sfax,Route Teniour,1339150,3113 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",3113.0,430.18
Sfax,Sfax Médina,2154494,7233 m²,,"puit, eau",Olives,"clôture, titre foncier",7233.0,297.87
Sfax,El Attaya,4016474,18265 m²,,"puit, eau",Olives,"clôture, titre foncier",18265.0,219.9
Sfax,Skhira,846490,4954 m²,,"puit, eau",Olives,titre foncier,4954.0,170.87
Sfax,Route de Mahdia,2056291,8884 m²,,"puit, eau",Olives,"clôture, titre foncier",8884.0,231.46
Sfax,Menzel Chaker,1382694,4034 m²,,"puit, électricité",Olives,"clôture, titre foncier",4034.0,342.76
Sfax,Menzel Chaker,7078656,19409 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",19409.0,364.71
Sfax,El Attaya,7550359,19217 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",19217.0,392.9
Sfax,Agareb,1773075,8802 m²,,"puit, eau",,"clôture, titre foncier",8802.0,201.44
Sfax,Thyna,640265,9484 m²,,eau,,,9484.0,67.51
Sfax,Sakiet Eddaier,5901245,13945 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",13945.0,423.18
Sfax,Sakiet Eddaier,1763570,3914 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",3914.0,450.58
Sfax,Thyna,6028198,14745 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",14745.0,408.83
Sfax,Sakiet Ezzit,2699389,5783 m²,près du centre,"puit, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",5783.0,466.78
Sfax,Agareb,1838524,8011 m²,,"puit, eau",Olives,"clôture, titre foncier",8011.0,229.5
Sfax,Sfax Ville,4207357,13057 m²,,"sondage, électricité",Olives,"clôture, titre foncier",13057.0,322.23
Sfax,El Hencha,6260036,17763 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",17763.0,352.42
Sfax,Route El Ain,5928582,14190 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",14190.0,417.8
Sfax,Agareb,3681178,12172 m²,,"sondage, électricité",Oliviers,"clôture, titre foncier",12172.0,302.43
Sfax,El Attaya,6815866,18009 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",18009.0,378.47
Sfax,Sfax Ville,1568977,8475 m²,,"puit, eau",Olives,titre foncier,8475.0,185.13
Sfax,Sfax Médina,2459728,5370 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",5370.0,458.05
Sfax,Route de Gremda,1182869,2438 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",2438.0,485.18
Sfax,Sakiet Ezzit,562599,3732 m²,,"puit, eau",,titre foncier,3732.0,150.75
Sfax,Sfax Sud,1730683,3965 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",3965.0,436.49
Sfax,Sfax Médina,4655398,17345 m²,,"puit, eau",,"clôture, titre foncier",17345.0,268.4
Sfax,Route de Mahdia,4405560,12163 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",12163.0,362.21
Sfax,Sfax Sud,2319161,16626 m²,,,,titre foncier,16626.0,139.49
Sfax,Sfax Ville,1129170,5276 m²,,"sondage, eau",,"clôture, titre foncier",5276.0,214.02
Sfax,Route El Ain,1595924,4470 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",4470.0,357.03
Sfax,Route El Ain,3607656,16982 m²,,"puit, eau",Olives,"clôture, titre foncier",16982.0,212.44
Sfax,Sfax Sud,394884,1680 m²,,"puit, eau",,"clôture, titre foncier",1680.0,235.05
Sfax,Sfax Médina,5775282,13557 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",13557.0,426.0
Sfax,Sfax Médina,1358266,3571 m²,près du centre,"puit, électricité",Figuiers,"clôture, titre foncier",3571.0,380.36
Sfax,Skhira,892955,3292 m²,,"sondage, eau",Olives,"clôture, titre foncier",3292.0,271.25
Sfax,Skhira,636841,3185 m²,,"puit, eau",Olives,titre foncier,3185.0,199.95
Sfax,Skhira,4506418,9928 m²,près de la mer,"sondage, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",9928.0,453.91
Sfax,Sakiet Eddaier,2044390,8659 m²,,"puit, eau",Olives,"clôture, titre foncier",8659.0,236.1
Sfax,Route Teniour,2334342,6874 m²,,"sondage, électricité",Oliviers,"clôture, titre foncier",6874.0,339.59
Sfax,Sfax Médina,1894748,6021 m²,,"sondage, électricité",Olives,"clôture, titre foncier",6021.0,314.69
Sfax,Ghraiba,2057860,12255 m²,,"puit, eau",Olives,titre foncier,12255.0,167.92
Sfax,Sfax Médina,5202452,19517 m²,,"sondage, eau",,"clôture, titre foncier",19517.0,266.56
Sfax,Sakiet Ezzit,5269978,17675 m²,,"puit, eau",Olives,"clôture, titre foncier",17675.0,298.16
Sfax,Skhira,6425527,19947 m²,,"puit, électricité",Figuiers,"clôture, titre foncier",19947.0,322.13
Sfax,Route El Ain,3555066,14361 m²,,"sondage, eau",Olives,"clôture, titre foncier",14361.0,247.55
Sfax,Sfax Sud,1477639,5099 m²,,"sondage, eau",Olives,"clôture, titre foncier",5099.0,289.79
Sfax,Route de Gremda,1002732,3477 m²,,"sondage, eau",Olives,"clôture, titre foncier",3477.0,288.39
Sfax,Skhira,298879,4293 m²,,eau,,,4293.0,69.62
Sfax,Skhira,2058477,5662 m²,près de la mer,"sondage, électricité",Figuiers,"clôture, titre foncier",5662.0,363.56
Sfax,El Attaya,7075812,16540 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",16540.0,427.8
Sfax,Sakiet Eddaier,1980190,4103 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",4103.0,482.62
Sfax,Sfax Sud,4543643,18100 m²,,"sondage, eau",,"clôture, titre foncier",18100.0,251.03
Sfax,El Attaya,1892486,4311 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",4311.0,438.99
Sfax,Sakiet Ezzit,2565672,14351 m²,,"puit, eau",,titre foncier,14351.0,178.78
Sfax,Agareb,3124755,12694 m²,,"sondage, eau",Olives,"clôture, titre foncier",12694.0,246.16
Sfax,Sidi Salah,7157470,19862 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",19862.0,360.36
Sfax,Route El Ain,5327185,12584 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",12584.0,423.33
Sfax,El Attaya,1081191,13849 m²,,eau,,,13849.0,78.07
Sfax,El Attaya,7098971,15902 m²,près du centre,"puit, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",15902.0,446.42
Sfax,Skhira,4822996,10455 m²,près de la mer,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",10455.0,461.31
Sfax,Sakiet Eddaier,6273658,19905 m²,,"puit, électricité",Oliviers,"clôture, titre foncier",19905.0,315.18
Sfax,Ghraiba,189731,1685 m²,,,,titre foncier,1685.0,112.6
Sfax,El Attaya,282566,3947 m²,,eau,,,3947.0,71.59
Sfax,Sidi Salah,3365789,11162 m²,,"puit, électricité",Figuiers,"clôture, titre foncier",11162.0,301.54
Sfax,Skhira,420528,5399 m²,,eau,,,5399.0,77.89
Sfax,Sfax Ville,1158743,2435 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",2435.0,475.87
Sfax,Sfax Ville,4384030,9774 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",9774.0,448.54
Sfax,El Attaya,1844366,9045 m²,,"puit, eau",Olives,"clôture, titre foncier",9045.0,203.91
Sfax,Sfax Sud,7519424,18769 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",18769.0,400.63
Sfax,Menzel Chaker,2759547,7566 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",7566.0,364.73
Sfax,Sakiet Eddaier,1753322,3522 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",3522.0,497.82
Sfax,Sakiet Eddaier,989458,2047 m²,près du centre,"sondage, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",2047.0,483.37
Sfax,Sfax Sud,2155326,4704 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",4704.0,458.19
Sfax,Route de Mahdia,5233216,12029 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",12029.0,435.05
Sfax,Skhira,2431069,10209 m²,,"sondage, eau",,"clôture, titre foncier",10209.0,238.13
Sfax,Sfax Sud,1944179,12377 m²,,"puit, eau",,titre foncier,12377.0,157.08
Sfax,Route de Mahdia,2902371,8882 m²,,"sondage, électricité",Figuiers,"clôture, titre foncier",8882.0,326.77
Sfax,El Hencha,1206511,7740 m²,,"puit, eau",,titre foncier,7740.0,155.88
Sfax,Menzel Chaker,2253386,10907 m²,,"puit, eau",,"clôture, titre foncier",10907.0,206.6
Sfax,Agareb,2906326,6058 m²,près du centre,"puit, eau, électricité",Oliviers,"maison, garage, clôture, titre foncier",6058.0,479.75
Sfax,Sfax Médina,4868401,17627 m²,,"sondage, eau",Olives,"clôture, titre foncier",17627.0,276.19
Sfax,Sakiet Eddaier,2636837,15674 m²,,"sondage, eau",,titre foncier,15674.0,168.23
Sfax,Sfax Médina,3406029,9253 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",9253.0,368.1
Sfax,Agareb,1784778,8006 m²,,"sondage, eau",Olives,"clôture, titre foncier",8006.0,222.93
Sfax,Sfax Ville,1792930,5929 m²,,"sondage, électricité",Olives,"clôture, titre foncier",5929.0,302.4
Sfax,Menzel Chaker,2048261,7748 m²,,"sondage, eau",,"clôture, titre foncier",7748.0,264.36
Sfax,Agareb,1845605,19718 m²,,eau,,,19718.0,93.6
Sfax,Route de Mahdia,4481875,10886 m²,près du centre,"puit, eau, électricité",Figuiers,"maison, garage, clôture, titre foncier",10886.0,411.71
Sfax,Thyna,2528846,10730 m²,,"puit, eau",,"clôture, titre foncier",10730.0,235.68
Sfax,Sfax Médina,2255193,6225 m²,près du centre,"sondage, électricité",Oliviers,"clôture, titre foncier",6225.0,362.28
Sfax,Route de Mahdia,684412,4459 m²,,"sondage, eau",Olives,titre foncier,4459.0,153.49
Sfax,Route El Ain,3187034,7325 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",7325.0,435.09
Sfax,Ghraiba,640704,3213 m²,,"puit, eau",Olives,titre foncier,3213.0,199.41
Sfax,El Attaya,5698130,13287 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",13287.0,428.85
Sfax,Sfax Médina,4425418,11096 m²,près du centre,"puit, électricité",Figuiers,"clôture, titre foncier",11096.0,398.83
